"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,-0.515539109122868,-2.30908327642265,1e-10,1.25e-09,6.05263157894737e-10,4535,"tags=57%, list=27%, signal=42%","114791/121512/85378/274/10051/1739/23637/55125/7074/8976/24137/57580/9585/3996/7153/5311/1453/4650/201176/5048/23580/394/6093/10611/57787/9113/10128/8440/116840/6249/5829/1794/7248/2017/22974/3832/6904/11346/6453/10013/10565/396/5116/23607/9564/55201/4296/9700/64411/10928/1062/675/9771/5981/55755/2934/8470/85464/9462/4983/3619/9126/3797/3799/22930/6780/4281/613/9344/5108/8476/6654/29/10163/23095/1063/4643/11064/25777/9826/8243/23332/9793/667/7414/2316/4763/5921/1778/324/134549/4628/81/4853/140735/10160/2037/2317/7204/11214/7461/2035/4001/6709/23365/11190/25/7840/9371/4926/6711/357/4627"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",195,0.484863177451774,2.22090883280995,1e-10,1.25e-09,6.05263157894737e-10,3886,"tags=45%, list=23%, signal=35%","3569/10563/3589/3824/6354/2213/3001/3553/5552/3586/6351/3002/27240/3109/6357/926/7124/56253/4830/915/3458/9450/1029/8807/6347/6170/6133/5551/925/8477/4689/3596/914/6189/3600/3135/6352/8560/3459/942/3932/6203/7334/4690/822/3112/4283/958/4067/3122/3606/8444/2268/11146/6775/5196/941/3937/9437/10261/6223/8651/3108/7903/919/6363/3665/5199/1984/3624/5699/7076/10225/3559/7097/9734/3574/356/9607/912/586/6890/5582/6688/3394/3455/917/1230"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",183,0.484740686376416,2.19355270238098,1e-10,1.25e-09,6.05263157894737e-10,3941,"tags=49%, list=23%, signal=38%","26521/533/4707/9296/64981/4695/4713/5435/4835/64960/6834/1347/4729/1349/4701/29088/6183/65003/1337/4704/64963/4714/26519/1537/56993/10975/4712/26520/4697/4722/9167/9550/4706/4711/1528/4718/9617/4700/11331/92609/1632/4708/4709/4694/4696/27089/1329/27429/7388/81689/1340/10063/29796/4259/10935/8402/291/6390/51382/529/2109/6392/1351/8992/2879/56945/6391/4702/4724/292/55288/10440/7419/1353/2108/2230/4728/1327/8803/4698/3028/54205/8802/1345/3052/26517/4717/23203/7381"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",196,0.476480751895797,2.18720685692269,1e-10,1.25e-09,6.05263157894737e-10,4202,"tags=48%, list=25%, signal=36%","5055/3569/597/1437/7130/3627/51561/3553/6373/6351/4973/50486/1844/7124/6515/8877/969/5743/6347/467/8744/5341/3552/5054/5806/8061/1326/5329/1942/79693/2921/9945/6372/4783/4616/2920/3604/6352/8942/1960/8013/9021/1843/2919/1846/2669/3606/4794/5328/1880/694/10957/1847/941/11182/6303/23529/4792/23764/5142/6446/3398/1647/10950/25976/2354/23645/10010/51278/3624/2643/7262/8870/329/7097/9308/330/604/10135/8848/25816/1051/6890/4814/10365/10769/1839/55332/5271/3659/7050/2353/3593/11080"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",194,0.450248076185627,2.05928387838378,5.4652707226485e-09,5.4652707226485e-08,2.64634161307191e-08,4144,"tags=45%, list=25%, signal=34%","3569/7130/10791/3627/6354/3001/7378/6373/10437/6375/2357/3669/969/5743/4502/8638/2209/9636/6347/10964/4860/4061/8673/684/3429/5696/5321/10379/10561/5698/3434/5720/3600/10797/5684/3135/837/6352/256586/942/9021/5683/3620/4283/3437/5721/9246/958/9111/10124/6775/91543/694/669/3937/3430/4792/163351/8651/3108/7903/11274/3665/5142/5771/64108/5292/5699/2643/57823/836/3123/3574/6737/10135/6717/6890/3394/3455/9934/94240/64761/2841/6398/8743/22914/3659"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",138,-0.484797658577415,-2.0628580274545,5.71249253329237e-08,4.76041044441031e-07,2.3050408467671e-07,3915,"tags=50%, list=23%, signal=39%","8821/273/8871/490/10395/3949/5607/50937/10611/4609/4325/55109/3815/8621/5797/4088/22828/861/493/5581/7049/23345/4781/9863/323/11099/4131/7082/91746/23229/8997/10659/4052/8503/546/5159/3397/4790/6256/4233/10516/26037/23469/8476/51460/11343/3667/23576/5578/7048/57178/1601/6541/3488/3480/3690/25836/6334/1281/1290/4363/4853/2064/3915/8455/7410/1278/1277/5332"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",196,0.423310531414526,1.9431376676469,1.33538556210942e-07,9.53846830078158e-07,4.61862675616792e-07,1928,"tags=27%, list=11%, signal=24%","5008/3569/60675/7130/3627/6354/1440/6361/3553/962/970/3586/6373/2357/5996/6004/4481/366/4973/2867/8877/969/8807/6347/1441/8744/3552/133/5054/4061/10663/684/5329/728/4693/4210/2769/6372/3600/23601/3604/8685/6401/6352/929/3932/2014/4283/623/958/4067/3606/9111"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",140,0.453181723288907,1.97277906776064,3.87933027970162e-07,2.42458142481352e-06,1.17400784780444e-06,3370,"tags=42%, list=20%, signal=34%","2987/9978/155382/4830/5423/5435/9533/4350/5436/6895/6834/4860/56655/6119/2958/1603/978/3251/5437/5439/6884/55290/5982/5440/404672/64976/1069/5984/6118/100/6827/5438/1716/51160/2959/6883/10063/2067/6881/51292/5557/30833/5985/5888/51082/5148/10302/1854/4832/2879/5142/3704/2965/5433/57804/5432/10289/7251/353"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",193,-0.394051157123252,-1.76145005681815,9.84059281232722e-06,5.46699600684846e-05,2.64717701384241e-05,2715,"tags=33%, list=16%, signal=28%","22996/23223/64919/3705/54020/2683/9467/949/3898/26018/6196/5241/6509/8165/5029/7869/7466/2289/23030/4602/7052/80004/11001/5174/10514/3856/9846/84187/26509/367/595/863/9862/9060/51195/5979/375449/23286/8140/2674/4299/3480/27134/11057/9612/89797/55806/57419/596/2444/10160/771/2317/9620/107/23389/4886/115/18/3983/1952/2194/79875/1836"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",190,-0.37930115368875,-1.69732987307689,3.65152991742256e-05,0.000182576495871128,8.84054611586516e-05,3070,"tags=33%, list=18%, signal=27%","7248/10174/57555/147/1384/6376/5291/60/1308/2683/7082/5335/257194/1004/3757/51754/57863/4771/9672/8503/3636/1462/5310/7045/8189/3675/5097/57463/4313/30835/9344/6714/478/3667/65266/54413/3914/3909/7414/1495/9379/3680/4763/5921/1956/71/4628/81/3728/7450/2037/8745/7410/9073/3691/3673/1500/1297/23114/357/8174/999/4627"
