"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"IFNG",0,0.768911602993216,0.612,0.184,0,"0","IFNG",0.428
"CD8A",0,0.738234928252834,0.733,0.322,0,"0","CD8A",0.411
"GPR171",0,0.724813983091595,0.706,0.249,0,"0","GPR171",0.457
"TRAT1",0,0.724557456228027,0.732,0.263,0,"0","TRAT1",0.469
"PTGER4",0,0.715039289033015,0.834,0.413,0,"0","PTGER4",0.421
"CD96",0,0.70477971708921,0.962,0.515,0,"0","CD96",0.447
"GZMK",0,0.67403464952384,0.642,0.242,0,"0","GZMK",0.4
"CD8B",0,0.661784081865346,0.574,0.204,0,"0","CD8B",0.37
"ICOS",0,0.658456710294509,0.823,0.355,0,"0","ICOS",0.468
"CD3D",0,0.650059740441502,0.887,0.43,0,"0","CD3D",0.457
"ITGA1",0,0.62264256905273,0.753,0.387,0,"0","ITGA1",0.366
"CREM",0,0.617704550320662,0.954,0.587,0,"0","CREM",0.367
"CD2",0,0.613817104361307,0.952,0.506,0,"0","CD2",0.446
"SH2D2A",0,0.605258838800066,0.793,0.332,0,"0","SH2D2A",0.461
"GZMA",0,0.604561258646437,0.863,0.54,0,"0","GZMA",0.323
"CBLB",0,0.604258196022099,0.888,0.508,0,"0","CBLB",0.38
"FYN",0,0.601279306292165,0.97,0.59,0,"0","FYN",0.38
"CXCR4",0,0.600784778480972,0.995,0.783,0,"0","CXCR4",0.212
"CXCR6",0,0.598797612349117,0.741,0.312,0,"0","CXCR6",0.429
"THEMIS",0,0.596349992815342,0.682,0.266,0,"0","THEMIS",0.416
"PPP1R16B",0,0.583661397890207,0.675,0.279,0,"0","PPP1R16B",0.396
"CD3E",0,0.583443706477992,0.916,0.446,0,"0","CD3E",0.47
"CAMK4",0,0.574473012288191,0.688,0.297,0,"0","CAMK4",0.391
"CCL5",0,0.570479785999743,0.961,0.724,0,"0","CCL5",0.237
"CD69",0,0.567852352673739,0.986,0.749,0,"0","CD69",0.237
"STAT4",0,0.565901565011128,0.919,0.528,0,"0","STAT4",0.391
"RGCC",0,0.56521692823522,0.781,0.398,0,"0","RGCC",0.383
"PTPN22",0,0.562718278374045,0.922,0.555,0,"0","PTPN22",0.367
"RGS1",0,0.557275225691862,0.984,0.743,0,"0","RGS1",0.241
"CD7",0,0.555411052400378,0.841,0.385,0,"0","CD7",0.456
"MPZL3",0,0.551866015311252,0.686,0.317,0,"0","MPZL3",0.369
"ZNF331",0,0.55074139914242,0.935,0.66,0,"0","ZNF331",0.275
"SLA2",0,0.54566866703357,0.699,0.324,0,"0","SLA2",0.375
"CD3G",0,0.542122363919196,0.898,0.531,0,"0","CD3G",0.367
"SYTL3",0,0.541756756597976,0.798,0.452,0,"0","SYTL3",0.346
"ALOX5AP",0,0.534743055222539,0.866,0.513,0,"0","ALOX5AP",0.353
"P2RY10",0,0.533758826364832,0.771,0.374,0,"0","P2RY10",0.397
"TNFAIP3",0,0.530175557291417,0.996,0.771,0,"0","TNFAIP3",0.225
"ITM2A",0,0.529133604171982,0.883,0.515,0,"0","ITM2A",0.368
"SH2D1A",0,0.521007297516453,0.769,0.375,0,"0","SH2D1A",0.394
"CST7",0,0.519168774198607,0.905,0.557,0,"0","CST7",0.348
"NR4A2",0,0.51466639599675,0.977,0.73,0,"0","NR4A2",0.247
"SAMSN1",0,0.512437426790299,0.963,0.647,0,"0","SAMSN1",0.316
"DUSP4",0,0.503242176071458,0.725,0.328,0,"0","DUSP4",0.397
"CCL4",5.77908550769248e-301,0.545266164284397,0.824,0.533,8.77207389212642e-297,"0","CCL4",0.291
"PDCD1",1.72379806760266e-300,0.563099154357884,0.508,0.171,2.61655308681408e-296,"0","PDCD1",0.337
"SCML4",1.22868907518066e-294,0.513733318794712,0.722,0.366,1.86502714721672e-290,"0","SCML4",0.356
